config,time_s,accuracy,f1_score
cpu_serial,35.3,0.403625721486058,0.5751187304529133
cpu_parallel,54.98,0.403625721486058,0.5751187304529133
gpu_serial,23.77,0.403625721486058,0.5751187304529133
gpu_dp,42.95,0.403625721486058,0.5751187304529133
